commit	rmse	status	description
5fb5a93	0.013345	keep	baseline (RF n=20, depth=10, features=speed_mph,grade_percent,miles)
9c93103	0.013347	discard	switch to HistGradientBoostingRegressor at defaults
d3a0d91	0.013341	keep	RF n_estimators 20 -> 200
a463e03	0.013964	discard	RF max_depth 10 -> None (overfits)
9859c70	0.013341	discard	add speed_squared feature (tied, redundant to tree splits)
46bdbfa	0.009155	keep	add prev_speed_mph (previous-link speed per journey)
53ad966	0.009144	keep	add prev_grade_percent
1891be3	0.008267	keep	add speed_delta (speed_mph - prev_speed_mph)
350dc21	0.008258	keep	add grade_delta
d0de3da	0.008247	keep	add speed_mph * grade_percent (power term)
36755fd	0.008088	keep	switch RF -> HGBR (defaults) with 8 features
a29f677	0.008088	discard	HGBR max_iter 100 -> 1000 (no-op: early_stopping='auto' caps it)
82d6d0e	0.008137	discard	HGBR learning_rate 0.1 -> 0.05 (under-fit at default max_iter=100)
2edb886	0.008015	keep	HGBR max_leaf_nodes 31 -> 127
e6d3ca7	0.008011	keep	HGBR max_leaf_nodes 127 -> 255
680b210	0.008012	discard	HGBR LR 0.05 + max_iter 1000 (tied, more complex)
