commit	model_family	rmse	trip_rmse	status	features	description
cc06c6e	RandomForest	0.013345	0.003037	keep	speed_mph,grade_percent,miles	baseline
f1675e3	RandomForest	0.013480	0.003043	discard	speed_mph,grade_percent,miles	max_depth 10 -> 20
62ee281	RandomForest	0.013341	0.003036	discard	speed_mph,grade_percent,miles	n_estimators 20 -> 100 (Pareto-better but discarded on inference cost)
f28267d	RandomForest	0.009164	0.002990	keep	speed_mph,grade_percent,miles,prev_speed_mph	add one-link lookback feature prev_speed_mph (first link of journey filled with 0)
8e738d3	RandomForest	0.008293	0.002819	keep	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta	add explicit speed_delta = speed_mph - prev_speed_mph
d368d8f	RandomForest	0.008210	0.002789	keep	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile	add ke_delta_per_mile = (v^2 - v_prev^2)/(2*miles), the physics form of the acceleration term
be6ccd2	RandomForest	0.008093	0.002757	keep	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile,sinuosity	add geometry-derived sinuosity = miles / straight-line endpoint distance
1721b51	RandomForest	0.008088	0.002756	discard	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile,sinuosity,total_turn_degrees	add total_turn_degrees, summed absolute heading change across interior vertices (Pareto-better but discarded on simplicity)
55b4a0e	RandomForest	0.008080	0.002757	keep	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile,sinuosity,prev_grade_percent	add one-link lookback feature prev_grade_percent
dd8f7e7	MLP	0.007811	0.002419	keep	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile,sinuosity,prev_grade_percent	swap RandomForest for a GPU MLP (8 -> 256 -> 256 -> 1, Adam 1e-3, batch 8192, 200 epochs)
ea00a2e	MLP	0.007837	0.002453	discard	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile,sinuosity,prev_grade_percent	MAX_EPOCHS 200 -> 600
b28a0ac	MLP	0.007736	0.002350	keep	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile,sinuosity,prev_grade_percent	cosine-anneal the learning rate to zero over the 200 epochs
5508202	MLP	0.007751	0.002357	discard	speed_mph,grade_percent,miles,prev_speed_mph,speed_delta,ke_delta_per_mile,sinuosity,prev_grade_percent	MAX_EPOCHS 200 -> 400 under the cosine schedule
5291e75	MLP	0.007730	0.002344	keep	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,prev_grade_percent	drop speed_delta — a linear layer can form the difference itself
0d09d7f	MLP	0.007739	0.002353	discard	speed_mph,grade_percent,miles,prev_speed_mph,sinuosity,prev_grade_percent	drop ke_delta_per_mile, testing whether the exp13 removal lesson extends to nonlinear features
665761c	MLP	0.007729	0.002344	discard	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,hours_per_mile,prev_grade_percent	add hours_per_mile = 1/speed, the auxiliary-load physics term
8afaccc	MLP	0.007735	0.002358	discard	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,prev_grade_percent	HIDDEN 256 -> 512
f9d1444	MLP	0.007741	0.002348	discard	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,prev_grade_percent	HIDDEN 256 -> 128, testing whether a cheaper network holds the metrics
37e22d2	MLP	0.007399	0.002308	keep	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,junction_turn_degrees,prev_grade_percent	add junction_turn_degrees, the heading change from the previous links exit into this links entry
8660022	MLP	0.006954	0.002266	keep	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,junction_turn_degrees,prev_grade_percent,prev_miles	add one-link lookback feature prev_miles
afd7677	MLP	0.006952	0.002266	discard	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,junction_turn_degrees,prev_grade_percent,prev_miles,prev_hours	add prev_hours = prev_miles / prev_speed_mph, the duration of the previous link
044c161	MLP	0.006956	0.002262	discard	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,junction_turn_degrees,prev_grade_percent,prev_miles	signed junction turn instead of absolute
dcf3c08	MLP	0.007064	0.002276	discard	speed_mph,grade_percent,miles,prev_speed_mph,ke_delta_per_mile,sinuosity,junction_turn_degrees,prev_grade_percent,prev_miles	weight the training loss by miles^2 to match the trip metric (train rows only; scoring untouched)
