commit	model_family	rmse	trip_rmse	physics_pass	physics_violation_rate	long_link_violation_rate	length_invariance	status	features	description
eeb388b	RandomForest	0.013345	0.003037	0.000000	0.098493	0.095871	8.826788	keep	speed_mph,grade_percent,miles	baseline (scaffold RandomForest, 3 features)
0a3584f	PhysicsMLP	0.013397	0.003060	1.000000	0.000000	0.000000	0.000000	keep	speed_mph,grade_percent,miles	structured physics parametrization: 4 bounded heads (A,B,C,T) driven by an MLP
06bd94d	PhysicsMLP	0.010816	0.003008	1.000000	0.000000	0.000000	3.312173	keep	speed_mph,prev_speed_mph,grade_percent,miles	add prev_speed_mph to the network inputs
b72184e	PhysicsMLP	0.010305	0.002871	1.000000	0.000000	0.000000	2.631165	keep	speed_mph,prev_speed_mph,next_speed_mph,grade_percent,miles	add next_speed_mph (the exit half of the kinetic delta)
c9b5a10	PhysicsMLP	0.009984	0.002880	1.000000	0.000000	0.000000	0.585244	discard	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,grade_percent,miles	add prev_miles (rmse -3.2%, trip_rmse +0.3%)
9aa25ee	PhysicsMLP	0.010262	0.002873	1.000000	0.000000	0.000000	0.972822	discard	speed_mph,prev_speed_mph,next_speed_mph,prev2_speed_mph,grade_percent,miles	add prev2_speed_mph (rmse -0.4%, trip_rmse +0.07%)
db730bd	PhysicsMLP	0.010287	0.002867	1.000000	0.000000	0.000000	2.244151	keep	speed_mph,prev_speed_mph,next_speed_mph,grade_percent,miles	let the climb term spend the flat rate unused ceiling headroom
fef4f62	PhysicsMLP	0.007597	0.002439	1.000000	0.000000	0.000000	1.191992	keep	speed_mph,prev_speed_mph,next_speed_mph,grade_percent,miles	signed transient: let a link give back the kinetic energy it releases
ab9d0b6	PhysicsMLP	0.006932	0.002315	1.000000	0.000000	0.000000	0.986948	keep	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,grade_percent,miles	re-test prev_miles under the signed-transient structure
8996a55	PhysicsMLP	0.006757	0.002287	1.000000	0.000000	0.000000	0.458303	keep	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,next_miles,grade_percent,miles	add next_miles (the exit-side reliability context)
6303efb	PhysicsMLP	0.006757	0.002277	1.000000	0.000000	0.000000	0.608788	keep	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,next_miles,grade_percent,miles	size the kinetic release from the link own peak, not just its entry
394bc00	PhysicsMLP	0.006583	0.002258	1.000000	0.000000	0.000000	0.063861	keep	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,next_miles,prev2_speed_mph,grade_percent,miles	re-test prev2_speed_mph under the signed-transient structure
f70b745	PhysicsMLP	0.006488	0.002238	1.000000	0.000000	0.000000	0.056387	keep	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,next_miles,prev2_speed_mph,next2_speed_mph,grade_percent,miles	add next2_speed_mph (the departure profile)
befc1d2	PhysicsMLP	0.006478	0.002218	1.000000	0.000000	0.000000	0.134359	keep	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,next_miles,prev2_speed_mph,next2_speed_mph,prev_grade_percent,grade_percent,miles	add prev_grade_percent (the terrain behind the vehicle)
57a01d3	PhysicsMLP	0.006480	0.002218	1.000000	0.000000	0.000000	0.060994	discard	speed_mph,prev_speed_mph,next_speed_mph,prev_miles,next_miles,prev2_speed_mph,next2_speed_mph,prev_grade_percent,next_grade_percent,grade_percent,miles	add next_grade_percent (tie on trip, rmse +0.03%)
